################ NH3 FUV Absorption Cross Section  ####################
Source Liang et al. (2007), interpolated to 0.01 nm
 
 COLUMN 1:      vacuum wavelength (nm) 
 COLUMN 2:      cross section (cm^2/molecule)   @300
 
DATE OF FILE CREATION: 11.09.2018 - Henrik Melin
 
NUMBER OF LINES: 8601
      145.560  5.09830e-19
      145.570  4.71746e-19
      145.580  4.33720e-19
      145.590  4.49593e-19
      145.600  4.65490e-19
      145.610  4.43475e-19
      145.620  4.21460e-19
      145.630  4.47710e-19
      145.640  4.73920e-19
      145.650  4.67715e-19
      145.660  4.61500e-19
      145.670  4.33275e-19
      145.680  4.05050e-19
      145.690  3.75918e-19
      145.700  3.46830e-19
      145.710  3.94596e-19
      145.720  4.42290e-19
      145.730  4.84818e-19
      145.740  5.27410e-19
      145.750  5.08495e-19
      145.760  4.89580e-19
      145.770  5.50732e-19
      145.780  6.11790e-19
      145.790  7.22760e-19
      145.800  8.33900e-19
      145.810  9.52914e-19
      145.820  1.07211e-18
      145.830  1.33722e-18
      145.840  1.60233e-18
      145.850  1.46687e-18
      145.860  1.33161e-18
      145.870  1.36513e-18
      145.880  1.39870e-18
      145.890  1.26400e-18
      145.900  1.12930e-18
      145.910  1.13522e-18
      145.920  1.14113e-18
      145.930  1.16579e-18
      145.940  1.19048e-18
      145.950  1.19011e-18
      145.960  1.18974e-18
      145.970  1.24479e-18
      145.980  1.29984e-18
      145.990  1.27751e-18
      146.000  1.25521e-18
      146.010  1.13413e-18
      146.020  1.01286e-18
      146.030  1.04433e-18
      146.040  1.07581e-18
      146.050  1.08446e-18
      146.060  1.09310e-18
      146.070  9.78783e-19
      146.080  8.64640e-19
      146.090  9.81366e-19
      146.100  1.09827e-18
      146.110  1.06997e-18
      146.120  1.04167e-18
      146.130  1.15518e-18
      146.140  1.26851e-18
      146.150  1.21535e-18
      146.160  1.16211e-18
      146.170  1.08763e-18
      146.180  1.01315e-18
      146.190  1.10824e-18
      146.200  1.20319e-18
      146.210  1.13154e-18
      146.220  1.06000e-18
      146.230  1.06458e-18
      146.240  1.06916e-18
      146.250  1.02128e-18
      146.260  9.73400e-19
      146.270  9.58018e-19
      146.280  9.42660e-19
      146.290  1.00283e-18
      146.300  1.06310e-18
      146.310  1.04324e-18
