# Data taken from Menang et al. (2013), which has been normalised to Thuillier. Smoothed to 0.0003 microns. Triangular.
# Wavelength (microns)    Spectral Luminosity (W micron-1)
1
6.955e5
       1.4517860   8.9877988e+25
       1.4517892   8.9975599e+25
       1.4517924   9.0073164e+25
       1.4517955   9.0170664e+25
       1.4517987   9.0268211e+25
       1.4518019   9.0366320e+25
       1.4518051   9.0463792e+25
       1.4518082   9.0561173e+25
       1.4518114   9.0658544e+25
       1.4518146   9.0755703e+25
       1.4518178   9.0852668e+25
       1.4518209   9.0949541e+25
       1.4518241   9.1046193e+25
       1.4518273   9.1142503e+25
       1.4518305   9.1239035e+25
       1.4518336   9.1334700e+25
       1.4518368   9.1430005e+25
       1.4518400   9.1524830e+25
       1.4518432   9.1619315e+25
       1.4518463   9.1713347e+25
       1.4518495   9.1806872e+25
       1.4518527   9.1900019e+25
       1.4518559   9.1992557e+25
       1.4518591   9.2084652e+25
       1.4518622   9.2176240e+25
       1.4518654   9.2267220e+25
       1.4518686   9.2357673e+25
       1.4518718   9.2447371e+25
       1.4518749   9.2536385e+25
       1.4518781   9.2624515e+25
       1.4518813   9.2711731e+25
       1.4518845   9.2797720e+25
       1.4518876   9.2882372e+25
       1.4518908   9.2965346e+25
       1.4518940   9.3045737e+25
       1.4518972   9.3124292e+25
       1.4519003   9.3199869e+25
       1.4519035   9.3272143e+25
       1.4519067   9.3340719e+25
       1.4519099   9.3404913e+25
       1.4519130   9.3464515e+25
       1.4519162   9.3519006e+25
       1.4519194   9.3568619e+25
       1.4519226   9.3612531e+25
       1.4519257   9.3651758e+25
       1.4519289   9.3686180e+25
       1.4519321   9.3715990e+25
       1.4519353   9.3741391e+25
       1.4519385   9.3762992e+25
       1.4519416   9.3781079e+25
       1.4519448   9.3796224e+25
       1.4519480   9.3809543e+25
       1.4519512   9.3821155e+25
       1.4519543   9.3831596e+25
       1.4519575   9.3840755e+25
       1.4519607   9.3849996e+25
       1.4519639   9.3859109e+25
       1.4519670   9.3868166e+25
       1.4519702   9.3876781e+25
       1.4519734   9.3885912e+25
       1.4519766   9.3895099e+25
       1.4519797   9.3904322e+25
       1.4519829   9.3912734e+25
       1.4519861   9.3921579e+25
       1.4519893   9.3930028e+25
       1.4519924   9.3938200e+25
       1.4519956   9.3945311e+25
       1.4519988   9.3952763e+25
       1.4520020   9.3959874e+25
       1.4520052   9.3966026e+25
       1.4520083   9.3972363e+25
       1.4520115   9.3978423e+25
       1.4520147   9.3983523e+25
       1.4520179   9.3988864e+25
       1.4520210   9.3993346e+25
       1.4520242   9.3998013e+25
       1.4520274   9.4002330e+25
       1.4520306   9.4005659e+25
       1.4520337   9.4009026e+25
       1.4520369   9.4011442e+25
       1.4520401   9.4013859e+25
       1.4520433   9.4015565e+25
       1.4520464   9.4016063e+25
       1.4520496   9.4016377e+25
       1.4520528   9.4015325e+25
       1.4520560   9.4014154e+25
       1.4520592   9.4011590e+25
       1.4520623   9.4008878e+25
       1.4520655   9.4004875e+25
       1.4520687   9.4000762e+25
       1.4520719   9.3995421e+25
       1.4520750   9.3990136e+25
       1.4520782   9.3983791e+25
       1.4520814   9.3977537e+25
       1.4520846   9.3970380e+25
       1.4520877   9.3963481e+25
       1.4520909   9.3955752e+25
       1.4520941   9.3948465e+25
       1.4520973   9.3940358e+25
       1.4521005   9.3932841e+25
       1.4521036   9.3924641e+25
       1.4521068   9.3916940e+25
       1.4521100   9.3908602e+25
       1.4521132   9.3900181e+25
       1.4521163   9.3892276e+25
       1.4521195   9.3883819e+25
       1.4521227   9.3875960e+25
       1.4521259   9.3867401e+25
       1.4521290   9.3858786e+25
       1.4521322   9.3850716e+25
       1.4521354   9.3842055e+25
       1.4521386   9.3833330e+25
       1.4521418   9.3825149e+25
       1.4521449   9.3816359e+25
       1.4521481   9.3807495e+25
       1.4521513   9.3799130e+25
       1.4521545   9.3790284e+25
       1.4521576   9.3781273e+25
       1.4521608   9.3772981e+25
       1.4521640   9.3763979e+25
       1.4521672   9.3755014e+25
       1.4521703   9.3746695e+25
       1.4521735   9.3737803e+25
       1.4521767   9.3729004e+25
       1.4521799   9.3720325e+25
       1.4521831   9.3712328e+25
       1.4521862   9.3703815e+25
       1.4521894   9.3695477e+25
       1.4521926   9.3687102e+25
       1.4521958   9.3678903e+25
       1.4521989   9.3671220e+25
       1.4522021   9.3662956e+25
       1.4522053   9.3654692e+25
       1.4522085   9.3646298e+25
       1.4522117   9.3637979e+25
       1.4522148   9.3630185e+25
       1.4522180   9.3621773e+25
       1.4522212   9.3613417e+25
       1.4522244   9.3605024e+25
       1.4522275   9.3596640e+25
       1.4522307   9.3588366e+25
       1.4522339   9.3580093e+25
       1.4522371   9.3572382e+25
       1.4522402   9.3564090e+25
       1.4522434   9.3555808e+25
       1.4522466   9.3547451e+25
       1.4522498   9.3539030e+25
       1.4522530   9.3530434e+25
       1.4522561   9.3521598e+25
       1.4522593   9.3512476e+25
       1.4522625   9.3503115e+25
       1.4522657   9.3493375e+25
       1.4522688   9.3483340e+25
       1.4522720   9.3473028e+25
       1.4522752   9.3462366e+25
       1.4522784   9.3451473e+25
       1.4522816   9.3440912e+25
       1.4522847   9.3429789e+25
       1.4522879   9.3418573e+25
       1.4522911   9.3407459e+25
       1.4522943   9.3395865e+25
       1.4522974   9.3384991e+25
       1.4523006   9.3374283e+25
